NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B25075_001E,B25026_002E,B25026_008E,B25026_007E,B25026_006E,B25026_006E,B25026_004E,B25026_003E,B25077_001E,B25075_025E,B15003_022E,B17001_001E,B19001_017E,B19013_001E
"Autauga County, Alabama",0500000US01001,55049.0,37.8,42311.0,15218.0,40133.0,3735.0,2948.0,7223.0,7223.0,8492.0,737.0,141000.0,10.0,5204.0,54598.0,484.0,53099.0
"Baldwin County, Alabama",0500000US01003,199510.0,42.3,172441.0,53905.0,141084.0,9441.0,8635.0,24010.0,24010.0,33915.0,3725.0,173400.0,329.0,27056.0,196640.0,3265.0,51365.0
"Barbour County, Alabama",0500000US01005,26614.0,38.7,12430.0,5829.0,14939.0,1900.0,1922.0,4077.0,4077.0,1885.0,265.0,90300.0,0.0,1431.0,23641.0,47.0,33956.0
"Bibb County, Alabama",0500000US01007,22572.0,40.2,17370.0,5119.0,14450.0,1769.0,1578.0,3642.0,3642.0,1921.0,155.0,97200.0,2.0,971.0,20603.0,55.0,39776.0
"Blount County, Alabama",0500000US01009,57704.0,40.8,55073.0,16254.0,46037.0,4599.0,4302.0,10127.0,10127.0,6598.0,350.0,124200.0,21.0,3522.0,57099.0,247.0,46212.0
"Bullock County, Alabama",0500000US01011,10552.0,39.2,2301.0,2600.0,7258.0,1215.0,564.0,2433.0,2433.0,538.0,82.0,68000.0,29.0,356.0,10154.0,43.0,29335.0
"Butler County, Alabama",0500000US01013,20280.0,40.6,10876.0,5393.0,13995.0,1854.0,1713.0,3081.0,3081.0,1618.0,394.0,83000.0,5.0,1328.0,19977.0,46.0,34315.0
"Calhoun County, Alabama",0500000US01015,115883.0,39.1,86777.0,31107.0,77790.0,9455.0,8188.0,16052.0,16052.0,14175.0,1651.0,107900.0,56.0,8247.0,112690.0,730.0,41954.0
"Chambers County, Alabama",0500000US01017,34018.0,43.1,19417.0,9370.0,22453.0,4080.0,2554.0,5303.0,5303.0,2909.0,376.0,83000.0,19.0,2086.0,33503.0,155.0,36027.0
"Cherokee County, Alabama",0500000US01019,25897.0,45.7,24156.0,8708.0,20279.0,1598.0,1628.0,4150.0,4150.0,3986.0,668.0,112500.0,15.0,1463.0,25465.0,134.0,38925.0
"Chilton County, Alabama",0500000US01021,43817.0,38.7,36740.0,12635.0,32619.0,3413.0,2681.0,6675.0,6675.0,6358.0,531.0,99100.0,71.0,2830.0,43301.0,208.0,42594.0
"Choctaw County, Alabama",0500000US01023,13287.0,45.1,7495.0,4479.0,10841.0,1496.0,1097.0,2699.0,2699.0,1424.0,262.0,64600.0,15.0,740.0,13091.0,70.0,32622.0
"Clarke County, Alabama",0500000US01025,24847.0,42.0,13253.0,6422.0,17533.0,2524.0,2226.0,4762.0,4762.0,2110.0,325.0,85900.0,2.0,1317.0,24448.0,180.0,32735.0
"Clay County, Alabama",0500000US01027,13483.0,43.7,11177.0,4025.0,10018.0,1055.0,969.0,2481.0,2481.0,1909.0,198.0,90000.0,4.0,626.0,13106.0,97.0,38815.0
"Cleburne County, Alabama",0500000US01029,14991.0,41.5,14176.0,4411.0,11187.0,1469.0,792.0,2752.0,2752.0,2015.0,252.0,108100.0,23.0,651.0,14726.0,52.0,36316.0
"Coffee County, Alabama",0500000US01031,50991.0,39.3,38945.0,12917.0,33691.0,3399.0,2843.0,5525.0,5525.0,6859.0,1345.0,142800.0,21.0,5251.0,50255.0,362.0,47872.0
"Colbert County, Alabama",0500000US01033,54377.0,42.4,43379.0,15936.0,39202.0,6216.0,3618.0,7482.0,7482.0,7741.0,873.0,102500.0,35.0,4501.0,53910.0,219.0,43786.0
"Conecuh County, Alabama",0500000US01035,12697.0,44.0,6593.0,3997.0,9467.0,1259.0,1574.0,2720.0,2720.0,806.0,34.0,72300.0,0.0,434.0,12622.0,28.0,27609.0
"Coosa County, Alabama",0500000US01037,10864.0,44.9,7204.0,3345.0,8271.0,970.0,1034.0,1945.0,1945.0,627.0,233.0,76500.0,0.0,489.0,10497.0,26.0,31910.0
"Covington County, Alabama",0500000US01039,37729.0,42.9,31881.0,11343.0,27889.0,3428.0,3096.0,5538.0,5538.0,5207.0,677.0,93700.0,36.0,2653.0,37016.0,234.0,37313.0
"Crenshaw County, Alabama",0500000US01041,13896.0,41.6,9935.0,3805.0,9659.0,1411.0,1071.0,1959.0,1959.0,1486.0,152.0,77600.0,16.0,1045.0,13662.0,91.0,37557.0
"Cullman County, Alabama",0500000US01043,81316.0,40.5,77946.0,23583.0,61647.0,6114.0,6103.0,13715.0,13715.0,12211.0,971.0,118700.0,75.0,5435.0,80126.0,573.0,39297.0
"Dale County, Alabama",0500000US01045,49607.0,36.9,36921.0,11413.0,28141.0,3021.0,3198.0,5380.0,5380.0,4390.0,654.0,103800.0,24.0,3540.0,48338.0,348.0,44093.0
"Dallas County, Alabama",0500000US01047,41426.0,38.9,11884.0,9385.0,22734.0,4308.0,2773.0,5760.0,5760.0,2677.0,124.0,81000.0,36.0,2233.0,40895.0,287.0,28136.0
"DeKalb County, Alabama",0500000US01049,70937.0,39.3,61858.0,17938.0,50247.0,5523.0,4842.0,12021.0,12021.0,8880.0,1249.0,99600.0,71.0,3154.0,70108.0,317.0,38248.0
"Elmore County, Alabama",0500000US01051,80957.0,38.3,61018.0,21215.0,56172.0,4352.0,4957.0,10175.0,10175.0,11246.0,1124.0,152500.0,77.0,7600.0,76191.0,705.0,53398.0
"Escambia County, Alabama",0500000US01053,37875.0,39.9,23453.0,9641.0,25644.0,4013.0,2368.0,6170.0,6170.0,3113.0,290.0,93900.0,15.0,1901.0,35290.0,197.0,32334.0
"Etowah County, Alabama",0500000US01055,103363.0,40.9,84024.0,28044.0,72716.0,9215.0,8084.0,14990.0,14990.0,11189.0,1188.0,101900.0,29.0,7513.0,101829.0,705.0,40478.0
"Fayette County, Alabama",0500000US01057,16783.0,43.6,14371.0,5336.0,13143.0,1900.0,1363.0,3032.0,3032.0,2215.0,88.0,76400.0,8.0,1048.0,16548.0,103.0,36205.0
"Franklin County, Alabama",0500000US01059,31573.0,39.1,28133.0,8053.0,20745.0,4268.0,1400.0,3835.0,3835.0,3554.0,523.0,87000.0,8.0,1660.0,31191.0,138.0,36138.0
"Geneva County, Alabama",0500000US01061,26765.0,42.0,23235.0,8018.0,19650.0,2329.0,1652.0,4277.0,4277.0,3762.0,205.0,81500.0,30.0,1559.0,26401.0,136.0,36519.0
"Greene County, Alabama",0500000US01063,8587.0,41.3,1472.0,2189.0,6038.0,1404.0,764.0,1790.0,1790.0,460.0,8.0,68100.0,0.0,457.0,8534.0,0.0,21339.0
"Hale County, Alabama",0500000US01065,15159.0,39.7,6062.0,4467.0,11690.0,1848.0,888.0,2495.0,2495.0,1372.0,297.0,89400.0,47.0,992.0,14889.0,107.0,33351.0
"Henry County, Alabama",0500000US01067,17187.0,43.2,12113.0,5471.0,13417.0,1443.0,1243.0,2770.0,2770.0,2510.0,240.0,101800.0,0.0,1102.0,16923.0,73.0,41045.0
"Houston County, Alabama",0500000US01069,103891.0,39.3,72332.0,25354.0,65515.0,7485.0,5611.0,13016.0,13016.0,11368.0,1185.0,124800.0,59.0,9614.0,102830.0,1247.0,41945.0
"Jackson County, Alabama",0500000US01071,52608.0,42.8,47949.0,14527.0,37994.0,5136.0,3870.0,8868.0,8868.0,5444.0,424.0,103800.0,10.0,2929.0,52043.0,353.0,38422.0
"Jefferson County, Alabama",0500000US01073,659096.0,37.5,345499.0,164876.0,415767.0,52992.0,37121.0,81729.0,81729.0,75382.0,8718.0,145700.0,1193.0,84843.0,644879.0,11420.0,47220.0
