NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B25075_001E,B25026_002E,B25026_008E,B25026_007E,B25026_006E,B25026_006E,B25026_004E,B25026_003E,B25077_001E,B25075_025E,B15003_022E,B17001_001E,B19001_017E,B19013_001E
Alabama,0400000US01,4841164.0,38.6,3325037.0,1267824.0,3276640.0,350345.0,293753.0,666605.0,666605.0,604690.0,67670.0,128500.0,4892.0,492382.0,4720592.0,54083.0,44758.0
Alaska,0400000US02,736855.0,33.6,483518.0,159313.0,467037.0,24713.0,47493.0,88673.0,88673.0,103858.0,12280.0,257100.0,554.0,86551.0,719064.0,16978.0,74444.0
Arizona,0400000US04,6728577.0,37.1,5235158.0,1531878.0,4094060.0,187662.0,257945.0,726968.0,726968.0,1040661.0,134377.0,176900.0,11843.0,777681.0,6573523.0,101665.0,51340.0
Arkansas,0400000US05,2968472.0,37.7,2307136.0,749452.0,1919926.0,151677.0,151778.0,361579.0,361579.0,404577.0,46141.0,114700.0,2200.0,273557.0,2881404.0,30167.0,42336.0
California,0400000US06,38654206.0,36.0,23680584.0,6929007.0,20736799.0,1861541.0,2034815.0,4396536.0,4396536.0,4078084.0,436690.0,409300.0,371025.0,5136043.0,37913144.0,1110197.0,63783.0
Colorado,0400000US08,5359295.0,36.4,4517058.0,1320617.0,3454901.0,193216.0,215926.0,622805.0,622805.0,831838.0,114037.0,264600.0,17328.0,874953.0,5241057.0,128838.0,62520.0
Connecticut,0400000US09,3588570.0,40.6,2768080.0,900223.0,2415715.0,276503.0,261367.0,537467.0,537467.0,356058.0,40462.0,269300.0,17694.0,524370.0,3479672.0,138828.0,71755.0
Delaware,0400000US10,934695.0,39.6,647002.0,246940.0,652819.0,56622.0,59088.0,129867.0,129867.0,108081.0,13627.0,233100.0,1365.0,115770.0,908973.0,18630.0,61017.0
District of Columbia,0400000US11,659009.0,33.8,266035.0,112672.0,265901.0,40260.0,25323.0,44202.0,44202.0,55210.0,5830.0,506100.0,9717.0,108252.0,624954.0,39318.0,72935.0
Florida,0400000US12,19934451.0,41.6,15130748.0,4787320.0,12508565.0,646813.0,996717.0,2558287.0,2558287.0,2641512.0,367541.0,166800.0,46133.0,2514297.0,19514334.0,322098.0,48900.0
Georgia,0400000US13,10099320.0,36.2,6039389.0,2266411.0,6254066.0,445901.0,477559.0,1265198.0,1265198.0,1156717.0,152502.0,152400.0,13120.0,1208700.0,9829056.0,167730.0,51037.0
Hawaii,0400000US15,1413673.0,38.5,353643.0,259854.0,819213.0,148884.0,104981.0,160111.0,160111.0,126882.0,15074.0,538400.0,16538.0,201712.0,1375928.0,33209.0,71977.0
Idaho,0400000US16,1635483.0,35.7,1493155.0,410538.0,1116576.0,67283.0,72348.0,189328.0,189328.0,254412.0,37767.0,167900.0,1857.0,187399.0,1604369.0,17296.0,49174.0
Illinois,0400000US17,12851684.0,37.4,9270907.0,3167081.0,8596290.0,809184.0,780495.0,1868477.0,1868477.0,1438391.0,178988.0,174800.0,27871.0,1744260.0,12548538.0,298593.0,59196.0
